# locale_code	section	phrase
ar	hard	كنموذج ذكاء اصطناعي
ar	soft	علاوة على ذلك
bg	hard	като ИИ
bg	soft	освен това
cs	hard	jako AI
cs	soft	navíc
da	hard	som AI
da	soft	desuden
de	hard	als KI
de	soft	abschließend
el	hard	ως ΤΝ
el	soft	επιπλέον
en	hard	As an AI
en	soft	Furthermore
es	hard	como IA
es	soft	hoy en día
et	hard	tehisintellektina
et	soft	lisaks
fi	hard	tekoälynä
fi	soft	lisäksi
fr	hard	en tant qu'IA
fr	soft	en outre
hr	hard	kao AI
hr	soft	osim toga
hu	hard	MI-ként
hu	soft	továbbá
id	hard	sebagai AI
id	soft	selain itu
it	hard	come IA
it	soft	inoltre
ja	hard	AIとして
ja	soft	さらに
ko	hard	AI로서
ko	soft	또한
lt	hard	kaip DI
lt	soft	be to
lv	hard	kā MI
lv	soft	turklāt
nl	hard	als AI
nl	soft	bovendien
no	hard	som KI
no	soft	dessuten
pl	hard	W dzisiejszym świecie
pl	soft	Co więcej
pt	hard	como IA
pt	soft	além disso
ro	hard	ca IA
ro	soft	în plus
sk	hard	ako AI
sk	soft	navyše
sl	hard	kot umetna inteligenca
sl	soft	poleg tega
sr	hard	kao AI
sr	soft	pored toga
sv	hard	som AI
sv	soft	dessutom
th	hard	ในฐานะปัญญาประดิษฐ์
th	soft	นอกจากนี้
uk	hard	як ШІ
uk	soft	крім того
vi	hard	với tư cách là AI
vi	soft	hơn nữa
zh	hard	作为人工智能
zh	soft	此外
